community,year,events-total,events-red_purple,events-orange,events-yellow,media-seconds-red_purple,median-seconds-orange,median-seconds-yellow
Richmond,2020,12111,2891,3717,5503,634,805,"1,282"
North Vancouver,2022,10324,2823,3640,3786,682,986,"1,548"
Saanich,2022,11353,2823,3772,4693,544,711,"1,333"
Prince George,2019,9825,2764,2719,4342,444,539,753
Coquitlam,2021,9842,2744,3250,3848,747,"1,031",273
Prince George,2018,9682,2718,2569,4395,439,524,719
Penticton,2024,8535,2711,2305,3483,476,595,797
Delta,2022,8187,2703,2843,2546,957,"1,486","2,352"
Duncan,2023,7683,2646,2344,2659,481,583,916
Penticton,2023,8505,2642,2610,3220,462,585,796
New Westminster,2021,8040,2604,2684,2752,709,"1,031",700
Saanich,2021,11184,2566,3479,5139,511,628,"1,074"
Saanich,2019,11154,2564,3317,5273,469,550,904
New Westminster,2022,7624,2559,2692,2246,767,"1,368","2,453"
North Vancouver,2021,10864,2530,3626,4708,645,878,"1,381"
Vernon,2022,9473,2468,2963,3988,483,608,874
Saanich,2018,10732,2398,3085,5249,462,555,879
Penticton,2022,8278,2329,2561,3342,521,657,886
Saanich,2020,10941,2328,3197,5416,480,584,962
Delta,2021,8395,2310,2822,3263,837,"1,153",323
Coquitlam,2019,9236,2298,2946,3992,633,820,"1,265"
North Vancouver,2019,10601,2295,3343,4963,565,696,"1,070"
Campbell River,2023,6756,2267,2168,2301,514,648,"1,060"
Coquitlam,2020,9301,2263,2900,4138,652,833,"1,275"
Courtenay,2024,6434,2252,1848,2303,530,667,"1,033"
Vernon,2021,9265,2193,2725,4347,458,562,776
Coquitlam,2018,9169,2188,2797,4184,620,788,"1,178"
Maple Ridge,2020,8614,2166,2529,3919,557,682,920
Maple Ridge,2019,8485,2157,2594,3734,531,677,880
Delta,2019,8790,2151,2751,3888,676,839,"1,242"
North Vancouver,2018,10380,2125,3125,5130,548,673,"1,040"
North Vancouver,2020,10455,2116,3329,5010,598,753,"1,156"
Courtenay,2023,6301,2083,2001,2196,518,663,997
Delta,2018,8884,2065,2678,4141,647,800,"1,173"
Penticton,2021,8336,2058,2472,3806,477,591,744
Duncan,2022,6836,2052,2082,2663,485,579,897
Delta,2020,8722,2048,2662,4012,680,870,"1,246"
Port Coquitlam,2024,5492,2042,1665,1676,788,"1,143","1,669"
New Westminster,2019,7596,2018,2468,3110,614,803,183
Maple Ridge,2018,8414,2009,2528,3877,530,636,843
Mission,2024,5488,1999,1551,1882,570,713,953
New Westminster,2020,7320,1983,2339,2998,619,849,99
West Kelowna,2024,5810,1921,1675,2161,603,695,"1,064"
Port Alberni,2024,5269,1894,1481,1865,487,550,890
Campbell River,2022,6183,1856,1985,2305,517,632,931
Port Alberni,2023,5422,1827,1675,1898,472,567,871
Duncan,2020,6149,1825,1683,2641,486,534,743
Duncan,2021,6554,1799,1943,2812,469,556,770
New Westminster,2018,7439,1792,2275,3372,615,774,53
Mission,2023,5288,1707,1602,1937,573,694,"1,011"
Vernon,2019,7668,1701,2095,3872,437,503,685
Langford,2024,4859,1691,1408,1687,558,709,"1,317"
Duncan,2019,6129,1667,1804,2658,449,511,678
Port Coquitlam,2023,4914,1664,1709,1434,856,"1,262","2,046"
Penticton,2020,7412,1658,2149,3605,457,553,666
Vernon,2020,7956,1637,2214,4105,454,548,733
West Vancouver,2024,4863,1612,1418,1772,912,"1,176","1,537"
Vernon,2018,7737,1597,2044,4096,446,507,663
West Kelowna,2023,5680,1557,1752,2310,580,693,"1,042"
Langford,2023,4897,1548,1513,1799,549,719,"1,276"
Penticton,2019,6732,1538,1848,3346,460,524,611
Duncan,2018,5782,1516,1638,2628,454,501,670
Penticton,2018,6798,1483,1924,3391,459,512,582
Mission,2022,4863,1473,1632,1723,642,790,"1,118"
Courtenay,2022,5196,1455,1675,2047,540,662,933
Port Alberni,2022,4756,1449,1492,1793,490,604,851
Cranbrook,2024,4164,1443,1182,1519,479,573,791
West Kelowna,2022,5634,1440,1849,2300,607,760,"1,104"
Campbell River,2021,5414,1403,1647,2364,513,593,811
Port Coquitlam,2022,4688,1375,1669,1573,865,"1,283","1,813"
