community,year,events-total,events-red_purple,events-orange,events-yellow,media-seconds-red_purple,median-seconds-orange,median-seconds-yellow
Castlegar,2021,1119,228,310,581,549,610,778
Fort St James,2023,704,228,211,263,466,555,659
Smithers,2020,913,226,273,414,411,477,575
Creston,2021,1062,224,281,557,462,497,612
North Saanich,2019,1054,222,305,527,670,739,946
Gabriola Island,2024,822,221,206,389,782,893,"1,146"
Kimberley,2023,956,220,283,445,632,706,866
Princeton,2023,661,219,194,245,648,639,829
Salt Spring Island,2020,1191,219,359,613,639,736,896
Coldstream,2023,715,218,215,278,700,884,"1,143"
Castlegar,2019,1033,216,281,536,510,575,705
Cobble Hill,2022,754,215,243,295,773,855,"1,149"
Enderby,2019,823,215,207,401,661,641,798
Burns Lake,2022,751,214,213,319,510,533,629
Enderby,2022,904,213,274,413,699,900,"1,098"
Nanoose Bay,2024,664,212,161,290,"1,001","1,138","1,573"
Smithers,2018,885,211,243,431,399,465,533
Princeton,2024,579,209,145,223,655,623,898
Grand Forks,2018,838,208,206,424,548,539,656
Tofino,2023,764,208,201,341,695,923,"1,121"
Armstrong,2023,737,207,233,294,570,629,801
Enderby,2021,872,207,245,420,650,855,899
Kitimat,2021,996,207,254,535,463,489,545
Revelstoke,2022,850,206,233,405,568,607,867
Coldstream,2019,794,205,205,384,722,743,989
Kitimat,2020,946,204,247,495,433,453,522
Peachland,2023,727,204,215,305,648,727,923
Coldstream,2021,818,203,234,381,692,803,"1,157"
Chemainus,2023,772,202,253,311,562,638,983
Chemainus,2022,845,201,242,396,630,759,987
Castlegar,2020,998,200,283,515,539,607,706
Coldstream,2020,758,200,194,364,792,776,"1,063"
Grand Forks,2021,964,200,272,492,486,523,647
Armstrong,2022,820,198,251,364,627,698,932
Coldstream,2018,724,198,179,347,720,768,"1,008"
North Saanich,2020,933,198,284,451,671,759,946
Houston,2024,591,197,150,240,550,585,776
Lake Cowichan,2023,654,197,196,258,516,590,792
Castlegar,2018,1041,196,282,563,522,586,720
Gabriola Island,2023,778,196,225,351,972,"1,186","1,373"
Peachland,2019,629,195,159,275,654,740,874
Peachland,2021,678,195,207,276,817,780,"1,026"
Enderby,2020,803,194,238,371,647,683,901
Keremeos,2024,648,194,171,280,567,605,731
Barriere,2024,436,192,89,154,461,513,667
Kimberley,2022,906,191,287,418,588,653,877
100 Mile House,2024,604,190,168,239,457,490,684
Cobble Hill,2023,686,189,206,289,809,928,"1,121"
Lake Cowichan,2024,640,189,168,276,529,619,825
Cobble Hill,2021,946,188,234,524,732,788,972
Peachland,2022,667,188,200,273,757,847,"1,191"
Salt Spring Island,2022,1094,188,369,528,650,741,908
Cobble Hill,2018,691,187,195,309,700,760,931
Kimberley,2019,906,186,216,504,542,569,705
Enderby,2018,757,185,207,365,605,666,800
Burns Lake,2023,717,183,241,286,543,589,782
Creston,2019,797,183,211,403,436,485,546
Grand Forks,2019,790,183,218,389,509,568,675
Kimberley,2021,915,183,245,487,595,612,772
Nanoose Bay,2023,574,182,170,221,921,"1,130","1,607"
Tofino,2022,653,182,179,283,732,846,"1,253"
Lillooet,2024,592,181,154,253,546,592,773
Princeton,2019,644,181,166,297,619,617,721
Grand Forks,2020,790,179,189,422,560,565,688
Princeton,2022,616,179,157,279,670,744,849
Sicamous,2024,518,179,130,206,514,511,679
Spallumcheen,2022,495,179,128,186,798,981,"1,173"
Creston,2020,847,178,230,439,456,498,569
Cobble Hill,2019,713,177,204,332,726,744,966
Metchosin,2024,420,177,95,143,"1,059","1,248","1,946"
Peachland,2020,643,176,188,279,664,722,950
Revelstoke,2020,701,176,185,340,647,601,854
Fort St James,2022,645,174,201,263,520,564,670
Kimberley,2018,834,174,206,454,560,542,695
Burns Lake,2021,708,171,175,362,473,514,609
Chase,2018,771,171,187,413,505,599,625
Keremeos,2023,640,171,179,287,501,545,670
Kitimat,2019,879,169,226,484,402,443,506
Fort St James,2021,595,168,185,242,684,667,716
Keremeos,2022,666,168,190,306,576,650,723
Gabriola Island,2022,765,167,237,352,"1,028","1,152","1,501"
Keremeos,2019,550,167,137,246,507,527,618
Mill Bay,2024,470,167,125,177,650,747,911
Armstrong,2021,690,166,190,334,589,686,730
Chemainus,2021,832,166,247,419,554,642,698
Cobble Hill,2020,732,166,217,349,735,797,988
Fort Nelson,2023,591,166,203,219,468,489,625
Princeton,2021,571,166,145,260,739,783,962
100 Mile House,2023,612,165,179,265,465,494,708
Sicamous,2023,522,165,127,228,484,538,649
Spallumcheen,2024,451,165,132,151,838,982,"1,210"
Chase,2024,515,163,141,207,486,545,647
Creston,2018,787,163,184,440,438,478,527
Kimberley,2020,953,163,260,530,591,596,665
Spallumcheen,2023,528,163,181,183,821,902,"1,228"
Thornhill,2024,457,162,123,171,755,838,"1,027"
100 Mile House,2021,700,161,202,337,433,418,489
Revelstoke,2019,746,160,187,399,639,602,777
Chemainus,2018,634,159,164,311,522,523,715
Metchosin,2023,442,158,116,167,"1,036","1,267","1,740"
Peachland,2018,630,158,146,326,693,783,959
Chase,2019,615,157,144,314,560,613,641
Nanoose Bay,2021,577,156,182,239,975,"1,178",96
Vanderhoof,2023,565,156,158,248,483,533,637
Mill Bay,2023,460,155,136,165,582,711,862
Burns Lake,2020,682,152,183,347,439,451,483
Chemainus,2019,668,152,184,332,565,560,699
Nanoose Bay,2019,586,152,163,271,842,943,"1,299"
Revelstoke,2018,667,151,152,364,609,628,754
Keremeos,2021,594,150,149,295,609,573,704
Lumby,2024,440,150,130,157,675,677,968
Burns Lake,2019,623,149,152,322,437,434,517
Nanoose Bay,2022,527,148,172,207,"1,003","1,160","1,590"
Vanderhoof,2021,635,148,172,315,451,457,554
Chemainus,2020,711,147,196,368,575,596,640
Kitimat,2018,810,147,217,446,432,443,496
100 Mile House,2022,637,146,186,302,474,539,653
Lake Cowichan,2022,522,146,169,202,530,596,723
Ashcroft,2024,484,145,152,184,518,561,752
Kamloops IR No 1,2020,480,145,113,222,702,842,"1,062"
Houston,2022,526,144,131,248,594,645,718
Houston,2023,504,144,150,209,595,630,706
Thornhill,2023,437,144,117,174,715,839,"1,080"
Golden,2022,530,143,153,233,634,696,824
Lake Cowichan,2018,517,143,162,212,479,557,593
Nanoose Bay,2020,518,143,141,234,927,"1,081","1,366"
Princeton,2018,583,143,156,284,567,601,713
Sicamous,2019,454,143,113,198,494,500,613
Tofino,2021,577,143,160,274,"1,031","1,086","1,309"
Keremeos,2020,551,142,164,245,481,533,624
Lake Cowichan,2019,476,142,112,222,476,526,572
Lumby,2023,427,142,117,167,"1,276","1,463","1,886"
Nanoose Bay,2018,528,142,149,237,867,961,"1,256"
Vanderhoof,2022,559,141,172,243,440,543,590
Lantzville,2024,432,140,102,187,729,828,"1,237"
Princeton,2020,623,140,165,318,605,630,712
Fort St James,2020,555,139,152,264,657,566,696
Kamloops IR No 1,2021,437,139,121,177,727,802,"1,133"
Gabriola Island,2019,647,138,195,314,"1,164","1,206","1,331"
Armstrong,2018,668,137,172,359,547,530,613
Mill Bay,2019,431,137,129,165,508,542,682
Lumby,2021,471,136,138,197,"1,341","1,317",140
Gabriola Island,2021,721,135,221,365,"1,050","1,237",47
Fruitvale,2024,409,134,83,190,574,666,777
Burns Lake,2018,583,133,133,317,428,454,544
Fort Nelson,2022,543,133,171,238,439,508,593
Keremeos,2018,529,133,138,258,432,511,554
Okanagan IR South,2021,434,131,129,174,"1,275","1,233",202
Lillooet,2023,451,130,126,194,526,575,847
Lake Cowichan,2020,529,129,135,265,496,526,600
Armstrong,2020,661,128,191,342,526,546,608
Shawnigan Lake,2024,425,128,134,158,830,"1,060","1,279"
Houston,2021,559,127,143,289,584,607,677
Okanagan Falls,2024,379,127,97,153,"1,069","1,331","1,582"
Spallumcheen,2021,480,127,132,221,770,936,"1,087"
Gabriola Island,2020,654,126,180,348,"1,134","1,233","1,319"
Golden,2023,484,126,180,174,560,701,"1,099"
Golden,2024,462,126,139,195,603,769,922
Masset,2024,408,126,109,170,590,732,921
Mill Bay,2018,429,126,114,189,542,544,673
Chase,2023,484,125,132,221,439,493,600
Fernie,2024,473,125,131,214,572,608,762
Quathiaski Cove,2024,386,125,97,159,819,"1,078","1,143"
Revelstoke,2021,629,124,175,330,627,635,791
Tofino,2020,552,124,138,290,"1,109","1,127","1,428"
Mount Currie,2024,386,123,108,154,"1,345","1,532","1,692"
Armstrong,2019,718,122,234,362,545,501,600
Houston,2020,455,122,107,226,580,592,655
Lake Cowichan,2021,496,122,129,245,602,542,762
Lumby,2020,455,122,144,189,"1,050","1,251",78
Spallumcheen,2020,419,122,120,177,763,800,920
Golden,2020,451,121,107,223,580,685,785
Lillooet,2022,439,121,122,195,592,614,789
Sicamous,2020,453,121,124,208,509,568,597
Tofino,2019,508,121,138,249,"1,034","1,190","1,272"
Fruitvale,2021,392,120,91,181,933,"1,021","1,408"
Lumby,2019,480,120,148,212,"1,183","1,313",40
Sicamous,2022,451,120,141,188,567,600,830
Spallumcheen,2019,367,120,72,175,798,798,947
Thornhill,2022,448,120,122,200,772,860,"1,020"
Golden,2019,466,119,117,230,578,675,821
Tofino,2018,513,119,142,252,"1,098","1,152","1,294"
Vanderhoof,2019,477,119,117,241,509,527,535
Vanderhoof,2020,549,119,151,279,479,474,535
Chase,2021,474,118,132,224,541,577,587
Lumby,2022,458,118,154,183,"1,466","1,586","1,727"
Mill Bay,2022,468,118,159,187,560,666,873
Okanagan Falls,2020,382,118,110,154,"1,080","1,262","1,416"
Tumbler Ridge,2024,498,118,125,239,490,555,690
Okanagan Falls,2022,403,117,137,147,"1,184","1,338","1,754"
Sicamous,2021,472,117,127,228,499,546,617
Shawnigan Lake,2023,401,115,138,145,871,"1,073","1,115"
Chase,2020,514,114,145,255,520,648,643
Pemberton,2019,315,114,79,122,475,619,760
Spallumcheen,2018,386,114,112,160,763,839,917
100 Mile House,2019,447,113,132,202,401,398,508
Cultus Lake,2024,276,113,82,79,"1,065","1,248","2,035"
Golden,2018,466,111,107,248,586,650,736
Masset,2023,372,111,100,160,867,"1,136","1,162"
Fruitvale,2023,365,110,95,157,774,"1,076","1,503"
Harrison Hot Springs,2024,275,110,73,90,870,990,"1,249"
Sicamous,2018,406,110,106,190,565,508,601
Sparwood,2018,326,110,81,135,982,981,"1,093"
Metchosin,2020,351,109,98,144,958,"1,099",56
Shawnigan Lake,2022,406,109,132,165,794,918,"1,209"
Thornhill,2021,410,109,111,190,709,778,"1,011"
100 Mile House,2020,575,108,186,281,462,394,499
Fanny Bay,2024,286,108,66,112,"1,355","1,406","2,127"
Golden,2021,532,108,136,288,567,658,713
Mill Bay,2020,394,108,101,185,561,626,734
Lantzville,2020,408,107,103,198,670,739,"1,014"
Mill Bay,2021,463,107,138,218,510,609,686
Port McNeill,2024,323,107,90,122,513,569,830
Lillooet,2021,465,106,112,247,711,637,791
Ashcroft,2023,372,105,112,152,480,562,691
Cumberland,2023,351,105,122,123,537,573,904
Okanagan Falls,2023,388,105,129,152,"1,060","1,235","1,534"
Sparwood,2023,329,105,98,124,640,749,850
Blind Bay,2023,276,104,69,103,"1,427","1,549","1,889"
Popkum,2022,263,104,70,87,857,"1,036","1,317"
Fruitvale,2020,373,103,88,182,915,997,"1,342"
Lantzville,2022,404,103,119,181,684,825,"1,265"
Metchosin,2021,351,103,114,134,940,"1,064","1,420"
Quathiaski Cove,2023,359,103,104,149,"1,209","1,413","1,657"
Salmo,2024,316,103,97,114,558,707,775
100 Mile House,2018,456,102,123,231,439,449,519
Chilliwack River Valley,2024,240,102,50,83,"1,109","1,175","1,972"
Lantzville,2023,342,102,104,136,692,852,"1,328"
Bowen Island,2024,401,101,116,175,722,726,982
Cumberland,2024,388,101,129,156,510,626,865
Invermere,2024,406,101,110,192,461,495,582
Metchosin,2019,347,101,103,143,897,"1,042",68
Okanagan Falls,2021,394,100,115,179,"1,154","1,287",32
Okanagan IR South,2020,402,100,122,180,"1,304","1,223",156
Blind Bay,2024,289,99,77,112,"1,456","1,634","2,082"
Chetwynd,2023,350,99,121,127,527,575,725
Lantzville,2019,393,99,123,171,633,727,981
Lillooet,2018,356,99,97,160,553,617,684
Lumby,2018,462,99,136,227,"1,081","1,127","1,254"
Barriere,2023,354,98,100,153,505,530,645
Charlie Lake,2024,214,98,55,61,"1,051","1,123","1,457"
Chetwynd,2022,326,98,97,129,657,630,777
North Westside,2024,229,98,61,66,"2,116","2,269","3,118"
Vanderhoof,2018,475,98,119,258,539,486,524
Fort Nelson,2021,416,97,116,203,472,443,505
Fort St James,2018,403,97,99,207,524,549,593
Fort St James,2019,442,96,131,215,496,550,584
Cultus Lake,2023,295,95,91,107,"1,102","1,214","1,927"
Lillooet,2020,402,94,95,213,581,668,727
Mount Currie,2020,321,94,75,152,"1,090","1,259",86
Logan Lake,2024,308,93,92,116,628,683,"1,043"
Mount Currie,2018,298,93,75,130,"1,083","1,085",58
Fanny Bay,2023,318,92,86,138,"1,298","1,463","1,906"
Houston,2018,413,92,95,226,590,568,599
Masset,2019,264,92,64,108,"1,044","1,081","1,231"
Roberts Creek,2024,285,92,79,111,860,956,"1,245"
Sparwood,2021,314,92,87,135,"1,268","1,354",158
Sparwood,2024,306,92,87,126,691,850,997
Tappen,2023,208,92,52,63,"1,290","1,404","1,742"
Chase,2022,424,91,123,208,515,581,707
Cultus Lake,2021,265,91,80,94,"1,094","1,255",420
Gabriola Island,2018,612,91,184,337,"1,220","1,229","1,388"
Invermere,2018,426,91,106,229,419,428,479
Metchosin,2018,308,91,83,134,928,"1,052","1,389"
Thornhill,2019,336,91,94,151,692,757,858
Chetwynd,2024,281,90,80,109,558,580,794
Cumberland,2018,347,90,104,153,500,551,597
Masset,2018,246,90,61,95,"1,070","1,181","1,263"
Metchosin,2022,330,90,109,130,"1,091","1,194","1,848"
Fernie,2023,395,89,134,172,523,572,666
Mount Currie,2019,308,89,70,149,"1,047","1,196",27
Okanagan IR South,2019,351,89,112,150,"1,162","1,218","1,437"
Cumberland,2019,326,88,74,164,448,529,592
Cumberland,2022,311,88,106,116,500,639,839
Fruitvale,2022,375,88,107,179,751,950,"1,453"
Logan Lake,2023,324,88,106,128,"1,061","1,058","1,284"
Okanagan Falls,2019,360,88,87,185,"1,081","1,219","1,359"
Sparwood,2022,339,88,102,149,"1,185","1,195","1,588"
Lillooet,2019,373,87,108,178,676,616,781
108 Mile Ranch,2024,202,86,55,61,970,"1,110","1,327"
Fanny Bay,2021,336,86,86,164,"1,277","1,316",302
Houston,2019,406,86,113,207,635,657,726
Okanagan Falls,2018,309,86,79,144,"1,099","1,216","1,361"
Salmo,2023,293,86,80,127,960,921,"1,134"
Thornhill,2020,364,86,113,165,715,760,972
Blind Bay,2021,299,85,91,123,23,126,393
Cumberland,2020,339,85,101,153,463,567,672
Mackenzie,2024,298,85,82,128,489,498,706
Port McNeill,2023,290,85,81,120,527,636,744
Salmo,2022,307,85,87,134,"1,129","1,183","1,782"
Shawnigan Lake,2018,337,85,99,153,873,854,"1,002"
Tappen,2024,223,85,57,78,"1,299","1,532","1,917"
Coquihalla,2018,149,84,23,42,429,533,861
Lantzville,2021,362,84,104,174,648,781,"1,168"
Popkum,2023,235,84,60,90,892,999,"1,356"
Shawnigan Lake,2019,316,84,83,149,879,888,982
Tumbler Ridge,2022,362,84,97,172,832,698,898
Chetwynd,2020,245,83,61,101,659,755,811
Chilliwack River Valley,2020,249,83,58,108,"1,221",166,383
Crofton,2024,251,83,70,97,"1,020","1,220","1,484"
Gold River,2020,255,83,83,89,729,822,"1,097"
Invermere,2023,358,83,111,163,457,518,646
Logan Lake,2022,291,83,96,108,"1,651","1,868","2,126"
Quathiaski Cove,2019,301,83,91,127,"1,351",114,287
Ashcroft,2018,308,81,76,151,504,649,610
Bowser,2024,275,81,66,126,787,818,"1,127"
Hatzic,2024,203,81,58,61,"1,099","1,322","2,123"
Masset,2020,308,81,101,126,"1,042","1,285","1,257"
Pemberton,2024,234,81,50,100,582,533,701
Alert Bay,2024,266,80,78,104,998,"1,038","1,377"
Barriere,2022,328,80,92,153,520,587,697
Black Creek,2024,227,80,68,76,"1,303","1,713","2,152"
Bowen Island,2023,349,80,101,166,907,"1,093","1,380"
Fort Nelson,2020,335,80,96,159,467,420,516
Fruitvale,2019,308,80,82,146,954,"1,015","1,273"
Masset,2022,322,80,92,150,812,"1,117","1,106"
Tachie,2023,222,80,56,84,"2,574","2,662","3,235"
Ashcroft,2022,344,79,116,146,562,667,823
Clearwater,2024,266,79,81,104,598,711,774
Errington,2024,188,79,48,61,777,993,"1,357"
Lantzville,2018,330,79,97,154,667,702,959
Logan Lake,2020,317,79,71,167,907,965,"1,111"
Sparwood,2020,261,79,63,119,"1,089","1,163","1,278"
Barriere,2021,322,78,108,136,482,529,634
Fort Nelson,2019,278,78,68,132,474,450,461
Harrison Hot Springs,2022,285,78,103,104,999,"1,135","1,432"
Tumbler Ridge,2023,415,78,114,211,746,855,841
Bowen Island,2022,371,77,121,170,"1,155","1,049","1,384"
Cowichan Bay,2024,257,77,61,118,880,"1,037","1,306"
Halfmoon Bay,2023,203,77,57,65,998,"1,147","1,388"
Harrison Hot Springs,2021,292,77,94,121,"1,060","1,026","1,244"
Popkum,2024,200,77,40,83,847,926,"1,193"
Thornhill,2018,316,77,88,151,654,739,882
Barriere,2019,312,76,103,133,480,440,526
Cawston,2024,201,76,53,71,762,865,"1,116"
Okanagan IR South,2018,291,76,90,125,"1,092","1,203",235
Pouce Coupe,2020,208,76,81,51,730,734,"1,041"
Barriere,2018,303,75,80,148,550,514,653
Black Creek,2021,234,75,59,100,"1,335",40,578
Invermere,2022,416,75,127,209,478,533,553
Port McNeill,2022,253,75,67,109,600,789,712
Sparwood,2019,278,75,80,123,"1,057","1,025","1,133"
Ashcroft,2021,321,74,97,150,471,529,668
Blind Bay,2022,273,74,89,110,"1,539","1,657","1,962"
Chetwynd,2019,258,74,65,119,565,513,548
Crofton,2023,288,74,107,104,"1,023","1,149","1,432"
Malahat,2024,180,74,45,60,"1,052","1,251","1,496"
Mount Currie,2023,299,74,79,141,"1,348","1,335","1,733"
Nakusp,2024,247,74,70,101,559,592,767
Tumbler Ridge,2019,464,74,91,299,740,729,745
Fanny Bay,2022,256,73,78,101,"1,383","1,528","1,920"
Harrison Hot Springs,2023,234,73,76,85,903,942,"1,419"
Logan Lake,2021,322,73,96,153,"1,103","1,232",100
Rossland,2024,259,73,74,112,587,758,"1,088"
Salmo,2019,261,73,69,119,"1,163","1,409",29
Salmo,2020,249,73,72,104,"1,242","1,282",19
Black Creek,2023,226,72,76,78,"1,272","1,493","1,937"
Cache Creek,2022,233,72,61,97,838,883,"1,142"
Chetwynd,2021,273,72,80,121,928,"1,062","1,385"
Chilliwack River Valley,2021,224,72,69,83,"1,399","1,334",772
Christina Lake,2024,175,72,42,61,"1,385","1,419","1,591"
Gitanmaax,2024,229,72,73,82,517,585,825
Malahat,2022,180,72,53,55,972,"1,155","1,389"
North Pender Island,2024,244,72,61,110,983,948,"1,387"
North Westside,2023,172,72,40,60,"2,165","2,415","3,083"
Shawnigan Lake,2021,394,72,130,192,728,850,"1,103"
Cowichan Bay,2023,237,71,67,99,817,923,"1,285"
Crofton,2019,247,71,74,102,"1,012",983,"1,243"
Gold River,2021,227,71,70,86,777,817,940
Mackenzie,2023,278,71,90,117,720,833,856
Pemberton,2022,210,71,51,84,549,617,721
Tumbler Ridge,2021,376,71,84,221,825,830,856
Chilliwack River Valley,2023,211,70,63,78,"1,237","1,716","2,179"
Denman Island,2024,195,70,55,69,832,"1,015","1,068"
Fernie,2022,390,70,143,177,530,633,698
Lake Errock,2024,194,70,45,77,"1,396","1,708","2,060"
Lower Nicola,2024,192,70,49,72,965,"1,098","1,484"
North Westside,2022,156,70,34,52,"2,145","2,325","2,895"
Pemberton,2018,239,70,49,120,533,636,815
Port McNeill,2019,221,70,48,103,597,520,611
Quathiaski Cove,2021,329,70,88,171,"1,354",106,149
Roberts Creek,2023,246,70,70,106,828,919,"1,163"
Salmo,2021,260,70,78,112,"1,246","1,172","1,438"
Bowser,2023,216,69,54,93,686,"1,021","1,585"
Cache Creek,2024,208,69,56,81,825,978,"1,278"
Invermere,2021,344,69,100,175,462,497,551
Logan Lake,2019,252,69,80,103,833,996,"1,163"
Mount Currie,2021,294,69,78,147,"1,234",25,218
Tappen,2021,207,69,57,81,"1,340","1,319",238
Tumbler Ridge,2020,426,69,95,262,855,866,873
Black Creek,2022,216,68,64,83,"1,295","1,502","1,885"
Coquihalla,2020,131,68,22,41,533,691,"1,196"
Cumberland,2021,328,68,114,146,567,643,883
Elkford,2023,177,68,52,56,988,"1,056","1,093"
Fraser Lake,2018,196,68,55,73,964,987,"1,231"
Halfmoon Bay,2024,231,68,74,89,"1,071","1,128","1,575"
Kamloops IR No 1,2019,233,68,74,91,763,779,"1,082"
Mackenzie,2022,279,68,81,128,706,747,820
North Pender Island,2023,284,68,106,106,"1,163","1,295","1,487"
Tachie,2021,219,68,66,85,"1,225","1,414",380
Cultus Lake,2019,206,67,57,82,"1,050","1,123",359
Logan Lake,2018,223,67,64,92,"1,027","1,049","1,179"
Quathiaski Cove,2018,274,67,72,135,"1,195","1,188",50
Sorrento,2024,167,67,43,57,"1,119","1,230","1,585"
Tachie,2024,166,67,49,48,"2,792","3,037","3,359"
Charlie Lake,2021,156,66,40,50,"1,162","1,079","1,403"
Clearwater,2022,278,66,85,125,517,642,781
Cowichan Bay,2022,231,66,60,104,817,866,"1,286"
Cultus Lake,2022,239,66,83,86,"1,111","1,319","2,028"
Fernie,2018,376,66,100,210,398,492,597
Madeira Park,2024,215,66,59,87,676,642,914
Mayne Island,2024,190,66,56,63,820,"1,203","1,434"
North Westside,2020,203,66,49,88,558,514,"1,302"
Tumbler Ridge,2018,525,66,117,342,792,806,783
Cache Creek,2020,237,65,66,106,847,860,"1,065"
Crofton,2022,299,65,96,135,"1,019","1,123","1,423"
Sorrento,2022,196,65,64,67,"1,183","1,288","1,552"
Taylor,2023,140,65,41,33,"1,172","1,045","1,457"
Clearwater,2023,227,64,64,97,528,534,760
Elkford,2024,187,64,55,67,902,958,"1,304"
Fernie,2021,370,64,122,184,482,556,674
Fruitvale,2018,273,64,80,129,"1,135","1,210","1,394"
Kaslo,2024,165,64,30,70,533,582,735
Kitamaat Village,2020,154,64,37,53,970,"1,026","1,168"
Mount Currie,2022,266,64,91,108,"1,168","1,367","1,645"
Otter Point,2023,183,64,54,65,901,"1,052","1,323"
Popkum,2021,209,64,65,80,879,863,"1,273"
Tappen,2022,216,64,53,98,"1,378","1,410","1,962"
Ashcroft,2019,331,63,97,171,471,488,557
Bella Bella,2024,150,63,35,49,730,802,978
Coombs,2023,170,63,52,54,754,820,"1,224"
Crofton,2020,273,63,80,130,942,982,"1,295"
Fernie,2019,345,63,92,190,439,459,573
Fernie,2020,339,63,90,186,440,500,595
Harrison Hot Springs,2020,274,63,84,127,839,935,"1,048"
Madeira Park,2023,218,63,73,82,959,799,"1,468"
Roberts Creek,2018,237,63,54,120,766,843,"1,097"
Rossland,2023,255,63,93,98,944,"1,137","1,355"
Shawnigan Lake,2020,354,63,115,176,724,921,"1,163"
Ashcroft,2020,298,62,94,142,536,498,586
Moberly Lake,2023,241,62,70,105,"1,355","1,569","1,829"
Popkum,2019,190,62,49,79,823,911,"1,026"
Popkum,2020,203,62,57,84,786,821,"1,120"
Port Renfrew,2024,233,62,86,81,754,"1,010","1,159"
Black Creek,2018,176,61,50,65,"1,301","1,378",362
Bowen Island,2020,338,61,98,179,"1,078","1,271",96
Bowser,2022,213,61,66,85,934,"1,089","1,501"
Denman Island,2023,209,61,53,91,"1,163","1,139","1,479"
Errington,2023,169,61,46,62,861,953,"1,417"
Hatzic,2023,196,61,69,65,"1,155","1,327","1,854"
Hazelton,2023,145,61,39,44,737,739,787
Tappen,2019,182,61,46,75,"1,231","1,332",160
Telkwa,2024,137,61,29,47,"1,189","1,137","1,849"
Valemount,2024,351,61,82,194,502,560,709
Blind Bay,2020,211,60,65,86,55,65,473
Bowen Island,2019,338,60,93,185,966,"1,085","1,363"
Cache Creek,2023,193,60,58,73,816,882,"1,245"
Charlie Lake,2022,133,60,29,44,"1,315","1,160","1,766"
Christina Lake,2021,167,60,40,67,"1,231","1,307",71
Clearwater,2018,187,60,44,83,599,624,729
Mackenzie,2021,264,60,62,142,972,850,"1,080"
Madeira Park,2019,272,60,82,130,903,932,"1,141"
Madeira Park,2020,212,60,52,100,"1,001","1,100","1,344"
Madeira Park,2022,207,60,66,80,917,991,"1,321"
Nakusp,2020,244,60,59,125,"1,038","1,098","1,256"
North Pender Island,2020,254,60,76,118,"1,156","1,230","1,412"
North Westside,2019,148,60,38,50,596,751,"1,025"
Pemberton,2021,224,60,63,101,661,700,813
Ucluelet,2023,230,60,82,87,891,870,"1,113"
Valemount,2022,315,60,80,168,865,888,968
Alert Bay,2023,265,59,91,111,"1,085","1,140","1,484"
Bowen Island,2021,332,59,94,179,"1,170","1,192",21
Fanny Bay,2019,269,59,72,138,"1,209","1,357",111
Gold River,2019,199,59,52,88,822,926,"1,276"
Hatzic,2021,170,59,50,61,"1,162","1,211",172
Invermere,2019,350,59,83,208,388,426,479
Lytton,2018,293,59,82,152,"1,163","1,082","1,234"
Masset,2021,231,59,60,112,"1,199","1,149","1,284"
Otter Point,2024,177,59,60,57,978,"1,263","1,343"
Pemberton,2020,235,59,58,118,567,548,816
Pemberton,2023,192,59,56,76,604,670,689
Witset,2023,153,59,43,51,"1,630","1,813","2,164"
Bowen Island,2018,288,58,86,144,"1,137","1,199","1,422"
Cache Creek,2021,236,58,70,108,793,869,"1,040"
Clearwater,2021,257,58,66,133,541,656,692
Cowichan Bay,2021,238,58,70,110,762,944,"1,166"
Cultus Lake,2020,221,58,69,94,"1,026","1,175",238
East Sooke,2024,135,58,39,37,"1,633","1,866","2,466"
Elkford,2022,204,58,58,87,941,"1,102","1,169"
Fanny Bay,2020,255,58,66,131,"1,111","1,140",101
Gitanmaax,2022,216,58,60,95,571,678,698
Gitwangak,2023,156,58,45,50,"2,385","2,529","2,922"
Hatzic,2020,177,58,49,70,958,873,1
Madeira Park,2018,204,58,61,85,858,"1,064","1,072"
Pouce Coupe,2019,169,58,70,41,760,794,"1,070"
Roberts Creek,2020,275,58,93,124,791,882,"1,076"
Sayward,2024,174,58,42,73,"1,179","1,297","1,623"
Barriere,2020,264,57,86,121,499,496,570
Boston Bar,2024,206,57,51,97,808,831,"1,111"
Clearwater,2019,217,57,68,92,556,550,729
Errington,2022,158,57,43,58,870,990,"1,379"
Lower Nicola,2019,168,57,34,77,795,879,"1,025"
Penelakut Island,2024,225,57,39,127,"1,130","1,165","1,555"
Quathiaski Cove,2022,326,57,121,145,"1,322","1,419","1,587"
Rossland,2018,242,57,59,126,"1,369","1,400",262
Ucluelet,2024,214,57,63,93,652,631,"1,052"
Chilliwack River Valley,2019,179,56,51,72,"1,026","1,204",307
Clinton,2024,155,56,42,55,472,514,593
Coombs,2024,150,56,36,56,808,860,"1,131"
Coquihalla,2019,99,56,14,29,564,964,"1,289"
Harrison Hot Springs,2019,260,56,88,116,777,846,"1,148"
Hatzic,2019,168,56,51,61,"1,126","1,091",0
Mackenzie,2020,194,56,52,86,858,943,"1,010"
Nakusp,2021,234,56,60,118,917,"1,059","1,023"
Port McNeill,2021,246,56,58,132,504,575,764
Quathiaski Cove,2020,280,56,94,130,29,245,366
Roberts Creek,2021,259,56,80,123,821,853,"1,117"
Valemount,2018,367,56,74,237,761,803,857
Black Creek,2019,201,55,55,91,"1,219",10,373
Cache Creek,2018,212,55,59,98,781,863,"1,120"
Chilliwack River Valley,2018,203,55,55,93,"1,040","1,155",283
Chilliwack River Valley,2022,185,55,72,57,"1,085","1,453","2,034"
